"","x"
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",1
"343",0
"344",0
"345",1
"346",0
"347",0
"348",0
"349",1
"350",0
"351",0
"352",1
"353",0
"354",0
"355",0
"356",0
"357",0
"358",1
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",1
"369",0
"370",1
"371",0
"372",1
"373",0
"374",0
"375",0
"376",1
"377",1
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",1
"387",0
"388",0
"389",0
"390",0
"391",1
"392",1
"393",1
"394",0
"395",1
"396",0
"397",1
"398",0
"399",0
"400",0
"401",1
"402",0
"403",0
"404",0
"405",0
"406",1
"407",0
"408",0
"409",0
"410",1
"411",0
"412",1
"413",0
"414",0
"415",0
"416",1
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",1
"425",0
"426",0
"427",1
"428",0
"429",0
"430",0
"431",1
"432",1
"433",1
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",1
"445",0
"446",1
"447",0
"448",0
"449",1
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",1
"467",0
"468",1
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",1
"477",1
"478",1
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",1
"491",0
"492",1
"493",0
"494",0
"495",1
"496",0
"497",0
"498",1
"499",1
"500",0
"501",0
"502",0
"503",0
"504",1
"505",0
"506",0
"507",0
"508",1
"509",0
"510",0
"511",0
"512",0
"513",0
"514",1
"515",1
"516",1
"517",0
"518",1
"519",0
"520",0
"521",0
"522",0
"523",0
"524",1
"525",1
"526",1
"527",0
"528",0
"529",0
"530",0
"531",1
"532",1
"533",0
"534",0
"535",0
"536",0
"537",0
"538",1
"539",0
"540",1
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",1
"549",0
"550",0
"551",0
"552",1
"553",0
"554",1
"555",1
"556",0
"557",0
"558",0
"559",0
"560",0
"561",1
"562",1
"563",0
"564",0
"565",0
"566",1
"567",0
"568",1
"569",0
"570",1
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",1
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",1
"587",1
"588",1
"589",1
"590",0
"591",1
"592",1
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",1
"600",0
"601",0
"602",0
"603",1
"604",0
"605",0
"606",0
"607",0
"608",1
"609",0
"610",0
"611",0
"612",1
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",1
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",1
"633",1
"634",0
"635",0
"636",0
"637",0
"638",1
"639",0
"640",1
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",1
"651",0
"652",0
"653",0
"654",0
"655",0
"656",1
"657",0
"658",1
"659",0
"660",1
"661",0
"662",0
"663",1
"664",0
"665",0
"666",0
"667",0
"668",0
"669",1
"670",0
"671",0
"672",1
"673",0
"674",0
"675",0
"676",1
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",1
"685",0
"686",0
"687",0
"688",0
"689",1
"690",0
"691",0
"692",0
"693",1
"694",0
"695",1
"696",0
"697",1
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",1
"705",1
"706",0
"707",0
"708",1
"709",0
"710",0
"711",1
"712",1
"713",1
"714",0
"715",1
"716",1
"717",0
"718",0
"719",0
"720",0
"721",0
"722",1
"723",0
"724",0
"725",1
"726",0
"727",0
"728",1
"729",0
"730",0
"731",1
"732",0
"733",0
"734",1
"735",0
"736",1
"737",1
"738",0
"739",0
"740",1
"741",0
"742",0
"743",0
"744",0
"745",0
"746",0
"747",1
"748",0
"749",0
"750",0
"751",0
"752",1
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",1
"760",0
"761",0
"762",0
"763",1
"764",0
"765",1
"766",0
"767",0
"768",1
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",1
"776",0
"777",1
"778",0
"779",0
"780",0
"781",0
"782",0
"783",1
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",1
"796",0
"797",0
"798",0
"799",0
"800",0
"801",1
"802",1
"803",1
"804",0
"805",0
"806",0
"807",0
"808",0
"809",1
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",1
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",1
"824",0
"825",0
"826",1
"827",1
"828",0
"829",0
"830",0
"831",0
"832",0
"833",0
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",0
"843",1
"844",0
"845",0
"846",1
"847",0
"848",0
"849",0
"850",1
"851",0
"852",0
"853",1
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",0
"864",0
"865",0
"866",0
"867",1
"868",0
"869",1
"870",0
"871",1
"872",0
"873",0
"874",0
"875",0
"876",0
"877",1
"878",1
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",1
"887",0
"888",0
"889",0
"890",1
"891",0
"892",0
"893",0
"894",0
"895",0
"896",1
"897",0
"898",0
"899",1
"900",1
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",0
"909",0
"910",0
"911",0
"912",0
"913",0
"914",0
"915",0
"916",0
"917",0
"918",1
"919",0
"920",0
"921",0
"922",0
"923",0
"924",1
"925",1
"926",1
"927",0
"928",1
"929",0
"930",0
"931",0
"932",0
"933",1
"934",1
"935",0
"936",1
"937",1
"938",0
"939",0
"940",0
"941",1
"942",1
"943",0
"944",1
"945",1
"946",0
"947",0
"948",0
"949",0
"950",0
"951",0
"952",0
"953",0
"954",0
"955",1
"956",0
"957",0
"958",0
"959",0
"960",0
"961",1
"962",0
"963",0
"964",0
"965",0
"966",0
"967",0
"968",0
"969",1
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",1
"980",1
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",1
"988",0
"989",0
"990",0
"991",0
"992",1
"993",1
"994",0
"995",0
"996",0
"997",1
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",1
"1011",1
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",1
"1018",0
"1019",0
"1020",1
"1021",1
"1022",0
"1023",1
"1024",0
"1025",0
"1026",0
"1027",1
"1028",0
"1029",0
"1030",0
"1031",1
"1032",0
"1033",1
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",1
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",0
"1053",1
"1054",0
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",1
"1061",0
"1062",0
"1063",0
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",0
"1071",0
"1072",1
"1073",0
"1074",0
"1075",0
"1076",0
"1077",0
"1078",1
"1079",0
"1080",0
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",1
"1087",0
"1088",0
"1089",1
"1090",0
"1091",0
"1092",1
"1093",1
"1094",0
"1095",1
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
