"ID","Age","DistanceFromHome","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","BusinessTravel","Education","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","WorkLifeBalance","Department.Human Resources","Department.Research & Development","Department.Sales","EducationField.Human Resources","EducationField.Life Sciences","EducationField.Marketing","EducationField.Medical","EducationField.Other","EducationField.Technical Degree","Gender.Female","Gender.Male","JobRole.Healthcare Representative","JobRole.Human Resources","JobRole.Laboratory Technician","JobRole.Manager","JobRole.Manufacturing Director","JobRole.Research Director","JobRole.Research Scientist","JobRole.Sales Executive","JobRole.Sales Representative","MaritalStatus.Divorced","MaritalStatus.Married","MaritalStatus.Single","OverTime.No","OverTime.Yes"
805,35,8,2572,1,16,3,1,3,2,0,2,1,4,1,3,1,4,3,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1870,27,15,4774,0,19,8,2,7,6,7,3,2,3,4,2,1,1,3,4,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
622,26,24,2340,1,18,1,3,1,0,0,0,1,3,3,1,1,4,3,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1102,28,15,2207,1,16,4,5,4,2,2,2,1,2,1,3,1,3,3,4,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1907,56,24,2587,1,16,5,3,4,2,1,0,1,2,1,3,1,4,3,4,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1934,47,14,5467,8,18,16,4,8,7,1,7,0,4,3,3,2,2,3,3,1,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1318,40,25,9094,2,12,9,2,5,4,1,0,1,4,4,2,3,2,3,3,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1916,31,4,3978,8,12,4,0,2,2,2,2,1,3,1,4,1,3,3,2,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
811,23,6,1601,1,21,1,2,0,0,0,0,1,3,3,4,1,1,4,3,2,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1207,33,2,3600,1,13,5,2,5,4,1,4,1,3,2,3,1,3,3,4,1,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1898,27,2,6500,0,14,9,5,8,7,0,7,1,2,1,4,2,3,3,2,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1706,43,2,7847,1,17,10,3,10,9,8,8,1,3,4,3,2,4,3,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1554,35,28,2430,0,23,6,5,5,3,4,2,1,4,2,2,1,3,4,1,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
729,40,5,10475,5,21,20,2,18,13,1,12,2,4,4,2,3,1,4,3,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1133,36,18,7779,2,20,18,0,11,9,0,9,0,4,1,3,2,4,4,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
57,30,1,4011,1,23,12,2,12,8,3,7,2,2,3,3,2,4,4,4,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1873,55,2,2662,8,20,19,2,5,2,0,4,1,4,2,2,1,4,4,2,1,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
204,35,1,7295,1,13,10,3,10,8,0,6,1,5,3,3,3,2,3,1,2,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1150,29,8,5056,1,15,10,2,10,7,1,2,1,1,2,2,2,4,3,3,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1458,39,2,3646,2,23,11,2,1,0,0,0,0,3,1,2,1,1,4,2,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
411,18,10,1200,1,12,0,2,0,0,0,0,1,3,4,2,1,3,3,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
41,30,9,2206,1,13,10,5,10,0,1,8,1,2,4,2,1,3,3,1,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
520,43,12,14336,1,11,25,3,25,10,3,9,1,3,1,2,4,2,3,3,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1892,40,1,16823,2,11,22,3,19,7,11,16,1,4,1,3,4,1,3,1,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2049,35,18,5689,1,14,10,2,10,2,0,2,2,4,3,3,2,3,3,4,2,4,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1639,35,10,10306,9,17,15,3,13,12,6,0,1,3,4,2,3,1,3,3,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
